,types,prediction,err type,err label,probability
2885,0,0,0,"fantasy, correct",0.048725797561927846
1072,0,0,0,"fantasy, correct",0.04478839991464558
19123,1,0,1,scifi->fantasy,0.019820720694089064
14862,1,1,3,"scifi, correct",0.7473399711473522
1131,0,0,0,"fantasy, correct",0.13243071990126626
18799,1,0,1,scifi->fantasy,0.07299115225100522
9082,0,0,0,"fantasy, correct",0.15789243485793597
18723,1,1,3,"scifi, correct",0.8355741298921638
10527,1,1,3,"scifi, correct",0.6230327157314781
9819,0,0,0,"fantasy, correct",4.1041309720566785e-07
3176,0,0,0,"fantasy, correct",0.4390233255423893
10208,1,1,3,"scifi, correct",0.7734049349989106
2942,0,0,0,"fantasy, correct",0.013966066376136264
12368,1,1,3,"scifi, correct",0.9999200517322022
15569,1,1,3,"scifi, correct",0.6720116534936065
11185,1,1,3,"scifi, correct",0.8165909631496527
14045,1,0,1,scifi->fantasy,0.4491804833147179
4573,0,0,0,"fantasy, correct",0.006904595146041431
3112,0,0,0,"fantasy, correct",0.028473927712377427
15017,1,1,3,"scifi, correct",0.9980294333756221
10819,1,1,3,"scifi, correct",0.5039565671646548
9446,0,0,0,"fantasy, correct",3.8060522140534326e-05
163,0,1,2,fantasy->scifi,0.9745907892061382
8103,0,1,2,fantasy->scifi,0.7423583270925183
18234,1,1,3,"scifi, correct",0.5323195017621454
6220,0,0,0,"fantasy, correct",0.10541848603107688
14399,1,0,1,scifi->fantasy,0.09347186557147795
15084,1,1,3,"scifi, correct",0.9979213900288602
15817,1,1,3,"scifi, correct",0.565209329540543
15359,1,1,3,"scifi, correct",0.7829980681357932
4143,0,0,0,"fantasy, correct",0.25478011977724124
19822,1,0,1,scifi->fantasy,0.29670273722645174
8753,0,0,0,"fantasy, correct",0.10316080306906787
10991,1,1,3,"scifi, correct",0.7734049349989106
10608,1,1,3,"scifi, correct",0.655548921875037
10253,1,1,3,"scifi, correct",0.7861285008107578
7743,0,1,2,fantasy->scifi,0.6124742272563954
17839,1,1,3,"scifi, correct",0.9651539491194787
16344,1,1,3,"scifi, correct",0.5316229444104952
5926,0,0,0,"fantasy, correct",0.010351167026826466
16012,1,1,3,"scifi, correct",0.6124742272563954
15952,1,1,3,"scifi, correct",0.7964382874432595
1924,0,0,0,"fantasy, correct",0.0002656875605421731
9163,0,1,2,fantasy->scifi,0.5934970066759591
5085,0,0,0,"fantasy, correct",0.2736277484194371
38,0,0,0,"fantasy, correct",0.0004019640190801362
1086,0,0,0,"fantasy, correct",1.8554010751204233e-05
8976,0,0,0,"fantasy, correct",0.0012297562333369186
11678,1,1,3,"scifi, correct",0.9945958105825671
1723,0,1,2,fantasy->scifi,0.6105009702923989
8500,0,0,0,"fantasy, correct",0.14993529366372008
9080,0,1,2,fantasy->scifi,0.7722296610979639
10404,1,1,3,"scifi, correct",0.8046733723388333
6212,0,0,0,"fantasy, correct",0.33840637560274894
19386,1,1,3,"scifi, correct",0.5000939140965978
11846,1,1,3,"scifi, correct",0.9932024554056541
2836,0,0,0,"fantasy, correct",0.493180174448327
10848,1,1,3,"scifi, correct",0.8649452835541851
1052,0,0,0,"fantasy, correct",0.30364520963372393
16441,1,1,3,"scifi, correct",0.7959409326864044
5923,0,0,0,"fantasy, correct",0.0199101498627333
4706,0,0,0,"fantasy, correct",0.13286372736877763
9750,0,1,2,fantasy->scifi,0.5395124918832708
7630,0,0,0,"fantasy, correct",0.0018090914964976037
7826,0,0,0,"fantasy, correct",0.3008215797481814
8459,0,0,0,"fantasy, correct",0.3749827834352735
10331,1,1,3,"scifi, correct",0.6124742272563954
5277,0,0,0,"fantasy, correct",0.25104075885476557
11524,1,1,3,"scifi, correct",0.5946190282948234
11370,1,1,3,"scifi, correct",0.7048112142885957
7568,0,0,0,"fantasy, correct",0.21425765792711524
5889,0,0,0,"fantasy, correct",0.10860094545500686
7746,0,0,0,"fantasy, correct",0.37481999265833804
16745,1,1,3,"scifi, correct",0.6152202855447005
7410,0,0,0,"fantasy, correct",0.18393527735689671
3132,0,0,0,"fantasy, correct",0.06037982902407439
10754,1,1,3,"scifi, correct",0.9360363336045685
18779,1,1,3,"scifi, correct",0.5362943526155701
1915,0,0,0,"fantasy, correct",2.4592754485581047e-06
6363,0,1,2,fantasy->scifi,0.5422747901815493
16049,1,1,3,"scifi, correct",0.6206391892247813
17504,1,1,3,"scifi, correct",0.5188506454218106
2340,0,0,0,"fantasy, correct",0.12570690007843016
14064,1,1,3,"scifi, correct",0.9377965464249558
14363,1,1,3,"scifi, correct",0.8502025244784076
15156,1,1,3,"scifi, correct",0.9564522402481602
10578,1,1,3,"scifi, correct",0.7642893417681321
6841,0,1,2,fantasy->scifi,0.6124742272563954
1718,0,0,0,"fantasy, correct",0.14730916608422112
12423,1,1,3,"scifi, correct",0.6124742272563954
1739,0,0,0,"fantasy, correct",0.021690461133164238
9943,0,0,0,"fantasy, correct",0.005956418626651738
18573,1,1,3,"scifi, correct",0.5164078425776304
1293,0,0,0,"fantasy, correct",0.32840005020405166
6651,0,0,0,"fantasy, correct",0.06893140530061648
9988,0,1,2,fantasy->scifi,0.8967223390654333
14983,1,0,1,scifi->fantasy,0.4859671754207186
1537,0,1,2,fantasy->scifi,0.5112157817732252
8230,0,0,0,"fantasy, correct",0.41711567451775916
10727,1,1,3,"scifi, correct",0.8473438562179139
6128,0,0,0,"fantasy, correct",0.003037300458828404
7373,0,0,0,"fantasy, correct",3.299605937283318e-05
10756,1,1,3,"scifi, correct",0.8871872368945213
5000,0,0,0,"fantasy, correct",0.008327072237896936
5007,0,1,2,fantasy->scifi,0.6973351780727827
9553,0,1,2,fantasy->scifi,0.5567029889834848
2584,0,0,0,"fantasy, correct",0.34283304728482566
9358,0,0,0,"fantasy, correct",0.429492750189144
12318,1,1,3,"scifi, correct",0.66029801488696
1639,0,1,2,fantasy->scifi,0.6301349428071734
10277,1,1,3,"scifi, correct",0.9905005725716265
8953,0,0,0,"fantasy, correct",0.07714755671406863
11360,1,1,3,"scifi, correct",0.811848463474304
12552,1,1,3,"scifi, correct",0.8758194132007017
15823,1,1,3,"scifi, correct",0.9415236053259256
12486,1,1,3,"scifi, correct",0.5760981839724434
2933,0,0,0,"fantasy, correct",0.17657956819401338
3165,0,1,2,fantasy->scifi,0.6759432048984297
14246,1,1,3,"scifi, correct",0.9802099386276275
16813,1,1,3,"scifi, correct",0.924020454162998
17426,1,1,3,"scifi, correct",0.8866121332605312
18515,1,1,3,"scifi, correct",0.9999998505163737
4522,0,0,0,"fantasy, correct",0.0043183356175034975
13135,1,1,3,"scifi, correct",0.8523180232129506
535,0,0,0,"fantasy, correct",0.023170324544753075
11241,1,1,3,"scifi, correct",0.5760981839724434
13751,1,1,3,"scifi, correct",0.8170813246797124
19517,1,1,3,"scifi, correct",0.6381580406770522
6924,0,0,0,"fantasy, correct",0.18648395474222515
4252,0,0,0,"fantasy, correct",0.028931000242489936
16048,1,1,3,"scifi, correct",0.6453681683382045
1159,0,0,0,"fantasy, correct",0.4116007914709708
12650,1,1,3,"scifi, correct",0.6990598224857001
18663,1,1,3,"scifi, correct",0.9593454479890223
17217,1,1,3,"scifi, correct",0.9366589384711485
16891,1,1,3,"scifi, correct",0.7462947463619294
14834,1,0,1,scifi->fantasy,0.4900549598385351
10798,1,1,3,"scifi, correct",0.8131125393498448
6148,0,1,2,fantasy->scifi,0.5977263984588532
18462,1,1,3,"scifi, correct",0.9920831175274853
7615,0,0,0,"fantasy, correct",0.2318444065463765
982,0,0,0,"fantasy, correct",0.011113624938584659
7196,0,0,0,"fantasy, correct",0.4465096675325427
4138,0,0,0,"fantasy, correct",0.18155367023871824
17430,1,1,3,"scifi, correct",0.928220393488037
925,0,0,0,"fantasy, correct",0.04171524304167386
13468,1,1,3,"scifi, correct",0.8492316967007826
15041,1,1,3,"scifi, correct",0.7513630670061622
14296,1,1,3,"scifi, correct",0.9986941803752768
17688,1,1,3,"scifi, correct",0.5939625915998843
10871,1,0,1,scifi->fantasy,0.4871605964143182
4848,0,0,0,"fantasy, correct",0.06421048208693747
423,0,1,2,fantasy->scifi,0.5425446856545965
16790,1,1,3,"scifi, correct",0.5844152648836014
1779,0,0,0,"fantasy, correct",0.48948660069793126
16940,1,1,3,"scifi, correct",0.5694844047882032
19740,1,1,3,"scifi, correct",0.9553440941308912
1976,0,0,0,"fantasy, correct",0.0002954136609794077
6999,0,1,2,fantasy->scifi,0.7226202934952975
19434,1,1,3,"scifi, correct",0.777654636684481
11724,1,1,3,"scifi, correct",0.8348572521197439
7700,0,1,2,fantasy->scifi,0.6946507629446977
16661,1,1,3,"scifi, correct",0.9096908500271147
11844,1,1,3,"scifi, correct",0.7544402674283957
10979,1,1,3,"scifi, correct",0.7734049349989106
19298,1,1,3,"scifi, correct",0.9774822164902104
5958,0,1,2,fantasy->scifi,0.6073102541707633
861,0,1,2,fantasy->scifi,0.5407773835144134
9059,0,0,0,"fantasy, correct",0.0604444514124565
5525,0,1,2,fantasy->scifi,0.5727611461580634
10705,1,1,3,"scifi, correct",0.9923225993437939
14155,1,1,3,"scifi, correct",0.8384826134374794
15377,1,1,3,"scifi, correct",0.8185807208482437
9542,0,0,0,"fantasy, correct",0.23758458147779044
19796,1,1,3,"scifi, correct",0.9892927113844331
12402,1,0,1,scifi->fantasy,0.3416551503923179
19454,1,1,3,"scifi, correct",0.5809548211815962
2969,0,0,0,"fantasy, correct",0.025750116457849526
10025,1,1,3,"scifi, correct",0.9999999997413813
3052,0,1,2,fantasy->scifi,0.5175475445886446
319,0,0,0,"fantasy, correct",0.06051900054623448
16883,1,1,3,"scifi, correct",0.9537162883934738
642,0,0,0,"fantasy, correct",0.4536536506989318
8849,0,0,0,"fantasy, correct",0.2491912145149462
10080,1,1,3,"scifi, correct",0.996965761949408
4066,0,0,0,"fantasy, correct",0.14921355342419276
11496,1,0,1,scifi->fantasy,0.0030828019684547197
18090,1,1,3,"scifi, correct",0.7615960004073121
5138,0,1,2,fantasy->scifi,0.8155705050632539
5454,0,0,0,"fantasy, correct",0.03685715406809651
4525,0,1,2,fantasy->scifi,0.7627249401348409
10657,1,0,1,scifi->fantasy,0.1795758898785958
19266,1,1,3,"scifi, correct",0.9830819695965978
17949,1,1,3,"scifi, correct",0.8298458469072766
5218,0,0,0,"fantasy, correct",0.09144709596552651
11961,1,1,3,"scifi, correct",0.8435310654856966
16622,1,1,3,"scifi, correct",0.9945958105825671
19279,1,1,3,"scifi, correct",0.9217526105563916
9564,0,1,2,fantasy->scifi,0.6124742272563954
4998,0,0,0,"fantasy, correct",0.29386350577958575
14218,1,0,1,scifi->fantasy,0.3717184604275644
14103,1,1,3,"scifi, correct",0.9922794235473886
7637,0,0,0,"fantasy, correct",0.0032534440329906596
4733,0,1,2,fantasy->scifi,0.6826600148306112
13682,1,1,3,"scifi, correct",0.6059252904342154
10987,1,1,3,"scifi, correct",0.8620176211361986
19438,1,1,3,"scifi, correct",0.559023294075112
12345,1,1,3,"scifi, correct",0.9318267332499472
2729,0,0,0,"fantasy, correct",0.10214680292542937
19666,1,1,3,"scifi, correct",0.964427743246231
9809,0,0,0,"fantasy, correct",0.33893215468836896
6188,0,0,0,"fantasy, correct",0.4830797895376405
4700,0,0,0,"fantasy, correct",0.005506811609922967
19078,1,1,3,"scifi, correct",0.8002866609795172
6600,0,1,2,fantasy->scifi,0.7591522324366332
11655,1,1,3,"scifi, correct",0.9622729272960792
17793,1,1,3,"scifi, correct",0.793198494880795
7195,0,1,2,fantasy->scifi,0.8656005643057177
19610,1,1,3,"scifi, correct",0.8257142916433813
7454,0,0,0,"fantasy, correct",0.021068410143039097
7427,0,0,0,"fantasy, correct",0.09138807744613976
12245,1,0,1,scifi->fantasy,0.07135591675283799
13752,1,1,3,"scifi, correct",0.9491725051988298
13021,1,1,3,"scifi, correct",0.9474036529054276
18081,1,1,3,"scifi, correct",0.7899709994490636
15798,1,1,3,"scifi, correct",0.7990669336379961
3602,0,1,2,fantasy->scifi,0.7697476092806493
15285,1,1,3,"scifi, correct",0.7734049349989106
18473,1,1,3,"scifi, correct",0.9435518514580435
9299,0,0,0,"fantasy, correct",0.4971963788243596
10757,1,1,3,"scifi, correct",0.8610607241879947
19688,1,1,3,"scifi, correct",0.6224121433940478
10023,1,0,1,scifi->fantasy,0.035756125783063905
7087,0,0,0,"fantasy, correct",0.36346718573909853
13954,1,1,3,"scifi, correct",0.6842986149079271
10771,1,1,3,"scifi, correct",0.999861815065128
19988,1,1,3,"scifi, correct",0.9938539052916447
1842,0,0,0,"fantasy, correct",0.05141626158284225
1200,0,0,0,"fantasy, correct",0.09801981869473328
4037,0,1,2,fantasy->scifi,0.7777296334141385
3062,0,1,2,fantasy->scifi,0.6624024372378292
2632,0,0,0,"fantasy, correct",0.00015089897242343347
4943,0,0,0,"fantasy, correct",0.005112897025815937
3741,0,0,0,"fantasy, correct",0.3665247793052814
17653,1,1,3,"scifi, correct",0.5112393521163348
1057,0,0,0,"fantasy, correct",0.16653432866616352
19922,1,0,1,scifi->fantasy,0.295039726544338
7101,0,1,2,fantasy->scifi,0.5694939708557596
4108,0,1,2,fantasy->scifi,0.7815240838653656
7451,0,0,0,"fantasy, correct",0.18722819240028662
11161,1,1,3,"scifi, correct",0.9860922450066716
17702,1,1,3,"scifi, correct",0.7123861534705923
12276,1,1,3,"scifi, correct",0.6749276419665612
10433,1,1,3,"scifi, correct",0.5015358183145061
3141,0,0,0,"fantasy, correct",0.3161540851590326
5289,0,1,2,fantasy->scifi,0.8263461932397431
12888,1,0,1,scifi->fantasy,0.48539104357047275
4390,0,0,0,"fantasy, correct",0.1362849807332397
6637,0,0,0,"fantasy, correct",0.3243326989570765
18021,1,1,3,"scifi, correct",0.9995779948379419
6135,0,1,2,fantasy->scifi,0.789507416914969
4964,0,0,0,"fantasy, correct",0.0045380660259453235
6698,0,0,0,"fantasy, correct",0.36110369913922996
11798,1,0,1,scifi->fantasy,0.3573013971462714
9849,0,1,2,fantasy->scifi,0.6677168040062837
2650,0,1,2,fantasy->scifi,0.5424104088578094
12648,1,1,3,"scifi, correct",0.8873796184699909
16860,1,0,1,scifi->fantasy,0.19829377053148547
14786,1,1,3,"scifi, correct",0.5760981839724434
7055,0,0,0,"fantasy, correct",0.10693193563015573
783,0,0,0,"fantasy, correct",0.10191950872807538
6597,0,0,0,"fantasy, correct",0.0008911882467989481
13677,1,1,3,"scifi, correct",0.8838347876004383
11687,1,1,3,"scifi, correct",0.581517447570633
11285,1,1,3,"scifi, correct",0.8830109366567908
8116,0,0,0,"fantasy, correct",0.2706444179248736
13475,1,1,3,"scifi, correct",0.6124742272563954
2488,0,1,2,fantasy->scifi,0.531084591013422
15610,1,0,1,scifi->fantasy,0.4782560876210235
1793,0,1,2,fantasy->scifi,0.5426576164560799
10907,1,1,3,"scifi, correct",0.9780335819576169
2405,0,0,0,"fantasy, correct",0.23310261929988685
1310,0,0,0,"fantasy, correct",5.619925266794355e-15
18967,1,1,3,"scifi, correct",0.9980077470557979
10002,1,1,3,"scifi, correct",0.9945958105825671
3263,0,0,0,"fantasy, correct",0.4619307325200523
5583,0,0,0,"fantasy, correct",2.7755406980634144e-06
14159,1,1,3,"scifi, correct",0.6950485628248524
1416,0,0,0,"fantasy, correct",0.1267768795056734
1107,0,0,0,"fantasy, correct",0.27977172727749694
5937,0,0,0,"fantasy, correct",0.09769772454237476
7311,0,0,0,"fantasy, correct",0.119001936495277
11750,1,1,3,"scifi, correct",0.809454300188585
14519,1,1,3,"scifi, correct",0.9996811067486049
14321,1,1,3,"scifi, correct",0.9999991011990572
3847,0,0,0,"fantasy, correct",3.953799458328583e-09
862,0,0,0,"fantasy, correct",6.159666471994621e-12
5932,0,0,0,"fantasy, correct",0.0005039706377812319
16035,1,0,1,scifi->fantasy,0.26574332483053137
19918,1,1,3,"scifi, correct",0.9960816897212358
18989,1,0,1,scifi->fantasy,0.008169863139136483
4341,0,1,2,fantasy->scifi,0.6557411700594225
4184,0,0,0,"fantasy, correct",0.12665648917180744
5804,0,0,0,"fantasy, correct",0.4979939863823105
13650,1,1,3,"scifi, correct",0.586364027710529
7025,0,1,2,fantasy->scifi,0.6124742272563954
3290,0,0,0,"fantasy, correct",0.28201700015006426
10443,1,0,1,scifi->fantasy,0.39623110765654046
6304,0,0,0,"fantasy, correct",0.16447089258318642
9649,0,0,0,"fantasy, correct",0.11889127546707422
777,0,1,2,fantasy->scifi,0.8320413310911284
9350,0,1,2,fantasy->scifi,0.5849859454034565
14081,1,1,3,"scifi, correct",0.6165823769623064
6024,0,1,2,fantasy->scifi,0.8415395264697216
15786,1,1,3,"scifi, correct",0.8938767247109315
7444,0,0,0,"fantasy, correct",0.4871605964143182
8185,0,0,0,"fantasy, correct",0.0017948555939232556
6960,0,0,0,"fantasy, correct",0.035047184382626835
13917,1,1,3,"scifi, correct",0.5286413901293142
12656,1,1,3,"scifi, correct",0.542694402068909
2701,0,1,2,fantasy->scifi,0.9040845236875374
19685,1,0,1,scifi->fantasy,0.35328230281540307
16109,1,1,3,"scifi, correct",0.9835717602922152
13010,1,1,3,"scifi, correct",0.9263626214279489
16038,1,1,3,"scifi, correct",0.9997475897516634
13872,1,1,3,"scifi, correct",0.8991929787311397
8296,0,0,0,"fantasy, correct",0.19690035810214226
10292,1,1,3,"scifi, correct",0.9958864657857189
3798,0,0,0,"fantasy, correct",0.023919266671960933
